patentno,risk,satisfy,name,home,resident,surgery,history,cost,centile
1069,0,9536.0,Palmer,MA,6746,2630,14.20101,67.69183,81
1071,0,9174.0,Russell,MA,1116,477,17.29391,63.7455,81
1072,0,1468.0,Shutesbury,MA,965,395,59.06736,78.61945,81
1073,0,3534.0,Southampton,MA,3669,1536,31.28918,84.9417,81
1075,0,3948.0,South Hadley,MA,11317,4212,32.87974,76.61359,81
1077,0,5006.0,Southwick,MA,5950,2419,21.42857,84.28267,81
1080,0,17444.0,Three Rivers,MA,1731,715,9.58983,52.43345,81
1081,0,9730.0,Wales,MA,1118,452,14.22182,66.85628,81
1082,0,11882.0,Ware,MA,6688,2664,13.83074,59.91946,81
1083,0,13996.0,Warren,MA,1474,663,11.87246,57.42587,81
1085,0,5727.0,Westfield,MA,25900,10230,24.37452,72.51949,81
1089,0,7380.0,West Springfield,MA,19168,7193,21.55676,65.74874,81
1092,0,19336.0,West Warren,MA,769,311,7.54226,50.6695,81
1095,0,1754.0,Wilbraham,MA,9461,4067,44.24479,96.19621,81
1096,0,3946.0,Williamsburg,MA,1877,696,34.4699,73.8794,81
1098,0,3237.0,Worthington,MA,814,323,37.10074,79.2301,81
1103,0,19285.0,Springfield,MA,1803,563,24.84748,20.98044,81
1104,0,16803.0,Springfield,MA,14338,5555,12.10769,49.85225,81
1105,0,23704.0,Springfield,MA,7393,2785,8.54863,22.91961,81
1106,1,694.0,Longmeadow,MA,11027,4525,60.12515,113.4186,81
1107,0,23434.0,Springfield,MA,5899,2631,8.27259,28.80643,81
1108,0,11775.0,Springfield,MA,15429,6108,21.48551,47.0736,81
1109,0,20451.0,Springfield,MA,16326,6888,11.03148,41.1554,81
1118,0,5122.0,Springfield,MA,9689,4009,27.22675,73.07653,81
1119,0,11064.0,Springfield,MA,7725,3277,15.76699,59.32843,81
1128,0,6494.0,Springfield,MA,2090,824,16.17225,80.79137,81
1129,0,8154.0,Springfield,MA,4765,1899,17.56558,68.24103,81
1151,0,21487.0,Indian Orchard,MA,5082,2135,8.06769,42.54669,81
1201,0,8420.0,Pittsfield,MA,33416,12341,21.02586,60.92893,81
1220,0,11991.0,Adams,MA,6720,2658,16.60714,54.77275,81
1222,0,6571.0,Ashley Falls,MA,540,246,22.59259,69.3028,81
1223,0,5737.0,Becket,MA,1245,513,24.8996,71.54141,81
1225,0,8290.0,Cheshire,MA,1945,815,18.09769,66.57253,81
1226,0,4512.0,Dalton,MA,5320,2114,28.04511,78.22717,81
1230,0,3853.0,Great Barrington,MA,6388,2294,36.39637,71.72317,81
1235,0,7273.0,Hinsdale,MA,1698,698,21.73145,66.13448,81
1236,0,4795.0,Housatonic,MA,1458,578,33.40192,66.05603,81
1237,0,5644.0,Lanesboro,MA,1702,702,27.55582,67.69837,81
1238,0,6261.0,Lee,MA,4459,1741,25.6784,66.14887,81
1240,0,2038.0,Lenox,MA,3961,1326,49.55819,79.87736,81
1245,0,2341.0,Monterey,MA,725,258,46.48276,78.456,81
1247,0,14313.0,North Adams,MA,11359,4349,14.16498,52.65313,81
1254,0,2322.0,Richmond,MA,739,287,37.34777,94.59702,81
1255,0,6252.0,Sandisfield,MA,608,213,21.875,72.73525,81
1256,0,9674.0,Savoy,MA,509,203,15.1277,65.52907,81
1257,0,5169.0,Sheffield,MA,1690,607,30,67.72322,81
1262,0,2514.0,Stockbridge,MA,642,180,45.17134,77.68713,81
1266,0,2003.0,West Stockbridge,MA,1231,470,48.49716,82.54225,81
1267,0,1623.0,Williamstown,MA,5101,1849,52.26426,86.13292,81
1301,0,7412.0,Greenfield,MA,12897,4496,24.2537,60.94854,81
1330,0,2872.0,Ashfield,MA,1119,435,44.41466,72.58618,81
1331,0,13662.0,Athol,MA,8557,3449,13.63796,55.28794,81
1337,0,7018.0,Bernardston,MA,1851,736,20.79957,69.27795,81
1339,0,6332.0,Charlemont,MA,1386,554,26.40693,64.23193,81
1340,0,7051.0,Colrain,MA,1253,499,24.58101,62.5922,81
1341,0,2134.0,Conway,MA,1215,499,47.3251,81.45302,81
1342,0,2961.0,Deerfield,MA,701,266,33.80885,89.35223,81
1344,0,11431.0,Erving,MA,600,259,12.16667,64.23585,81
1349,0,14316.0,Millers Falls,MA,1112,402,14.83813,51.48675,81
1351,0,3855.0,Montague,MA,1686,665,31.25741,80.57431,81
1355,0,3197.0,New Salem,MA,637,255,41.60126,72.09975,81
1360,0,4451.0,Northfield,MA,1992,827,30.77309,74.2926,81
1364,0,11505.0,Orange,MA,5024,1985,15.84395,57.64424,81
1366,0,2593.0,Petersham,MA,855,297,45.61403,75.45898,81
1368,0,8226.0,Royalston,MA,791,313,16.94058,68.9066,81
1370,0,4411.0,Shelburne Falls,MA,3080,1130,33.83117,69.55255,81
1373,0,3000.0,South Deerfield,MA,3835,1442,36.34941,84.3402,81
1375,0,2470.0,Sunderland,MA,2291,795,50.50197,69.33026,81
1376,0,11544.0,Turners Falls,MA,4447,1702,16.528,56.35364,81
1379,0,2747.0,Wendell,MA,615,214,41.62602,79.41708,81
1420,0,12071.0,Fitchburg,MA,24863,9456,15.40844,56.60731,81
1430,0,4843.0,Ashburnham,MA,3606,1549,26.56683,77.23078,81
1431,0,4325.0,Ashby,MA,1869,780,25.52167,84.86324,81
1432,0,4879.0,Ayer,MA,5671,1797,24.14036,81.02936,81
1436,0,11382.0,Baldwinville,MA,2095,780,10.54893,67.21587,81
1440,0,10793.0,Gardner,MA,14559,5209,15.07659,61.47158,81
1450,1,749.0,Groton,MA,6048,2549,53.83598,120.3175,81
1451,1,122.0,Harvard,MA,3313,1457,75.8527,157.0009,81
1452,0,3130.0,Hubbardston,MA,2504,1111,33.82588,86.37744,81
1453,0,6410.0,Leominster,MA,27883,11042,21.97038,71.36227,81
1460,0,1161.0,Littleton,MA,5586,2255,48.1382,109.0081,81
1462,0,3601.0,Lunenburg,MA,6467,2674,31.51384,83.66155,81
1463,0,2634.0,Pepperell,MA,6975,3018,32.83154,96.71925,81
1464,0,5086.0,Shirley,MA,4516,1418,19.61913,86.6285,81
1468,0,7327.0,Templeton,MA,2157,927,17.43162,73.18507,81
1469,0,3557.0,Townsend,MA,3720,1662,28.01075,90.3277,81
1473,0,4218.0,Westminster,MA,4639,1935,28.51908,80.85545,81
1474,0,4130.0,West Townsend,MA,1981,821,28.57143,81.93814,81
1475,0,10312.0,Winchendon,MA,6011,2521,13.74147,65.40877,81
1501,0,4958.0,Auburn,MA,11403,4392,24.37955,79.73091,81
1503,0,2150.0,Berlin,MA,1626,659,36.40836,99.92548,81
1504,0,6486.0,Blackstone,MA,5663,2326,16.3341,80.59131,81
1505,0,1988.0,Boylston,MA,2863,1143,37.72267,101.475,81
1506,0,7815.0,Brookfield,MA,2080,868,16.77885,71.28905,81
1507,0,3648.0,Charlton,MA,7275,3048,26.43299,91.80398,81
1510,0,6377.0,Clinton,MA,9393,3406,23.02779,69.70554,81
1515,0,7335.0,East Brookfield,MA,1428,598,16.2465,75.187,81
1516,0,4327.0,Douglas,MA,4542,1955,23.93219,87.5922,81
1518,0,4591.0,Fiskdale,MA,1496,633,27.40642,78.58153,81
1519,0,1213.0,Grafton,MA,3805,1587,47.72668,107.9358,81
1520,0,1721.0,Holden,MA,8626,3643,45.22374,95.56203,81
1521,0,6492.0,Holland,MA,1602,676,19.78776,74.56458,81
1522,0,1371.0,Jefferson,MA,1954,820,46.2129,104.3308,81
1523,0,3346.0,Lancaster,MA,4903,1549,30.94024,87.94917,81
1524,0,5275.0,Leicester,MA,3997,1596,19.83988,84.2552,81
1527,0,5965.0,Millbury,MA,9005,3471,17.79012,81.80869,81
1529,0,5594.0,Millville,MA,1712,733,20.44393,80.4344,81
1531,0,5558.0,New Braintree,MA,574,267,21.42857,79.00127,81
1532,0,857.0,Northborough,MA,9221,3936,51.04653,118.3116,81
1534,0,4145.0,Northbridge,MA,3282,1245,23.766,90.04134,81
1535,0,8233.0,North Brookfield,MA,3100,1241,17.64516,67.6683,81
1536,0,3414.0,North Grafton,MA,4390,1651,31.20729,86.59843,81
1537,0,8274.0,North Oxford,MA,1271,484,19.43352,64.3653,81
1540,0,6449.0,Oxford,MA,7557,3092,17.52018,78.76852,81
1541,0,891.0,Princeton,MA,2218,967,54.77908,110.2307,81
1542,0,3314.0,Rochdale,MA,1304,484,24.46319,99.70973,81
1543,0,3232.0,Rutland,MA,3996,1687,29.5045,92.43294,81
1545,0,1450.0,Shrewsbury,MA,21894,8755,46.06285,101.4933,81
1550,0,14652.0,Southbridge,MA,11291,4594,12.4524,54.74006,81
1560,0,8370.0,South Grafton,MA,1858,714,16.68461,68.649,81
1562,0,7068.0,Spencer,MA,7798,3107,17.73532,74.2233,81
1564,0,2170.0,Sterling,MA,4884,2078,35.85176,100.6107,81
1566,0,2803.0,Sturbridge,MA,3946,1614,36.8221,86.8168,81
1568,0,1118.0,Upton,MA,3762,1565,44.86975,116.3659,81
1569,0,3589.0,Uxbridge,MA,7192,2993,26.86318,91.85236,81
1570,0,9465.0,Webster,MA,10789,4080,15.9329,64.9328,81
1571,0,6170.0,Dudley,MA,7002,2879,20.6084,75.48905,81
1581,1,719.0,Westborough,MA,11948,4491,53.15534,123.712,81
1583,0,2815.0,West Boylston,MA,4330,1772,34.41108,90.74744,81
1585,0,8275.0,West Brookfield,MA,3946,1446,17.76482,67.23679,81
1588,0,5389.0,Whitinsville,MA,5557,2275,23.73583,76.57306,81
1590,0,1925.0,Sutton,MA,5356,2294,35.99701,105.9156,81
1602,0,3567.0,Worcester,MA,15738,5992,37.08858,74.49136,81
1603,0,12298.0,Worcester,MA,11254,4200,14.17274,57.97375,81
1604,0,8791.0,Worcester,MA,23498,8084,21.41884,58.53602,81
1605,0,12899.0,Worcester,MA,15279,5706,20.80633,44.94221,81
1606,0,6376.0,Worcester,MA,13994,4966,24.02458,67.9952,81
1607,0,19931.0,Worcester,MA,4812,1887,10.39069,43.85036,81
1608,0,23067.0,Worcester,MA,1710,729,14.73684,21.91014,81
1609,0,4437.0,Worcester,MA,11661,3855,35.94031,65.60883,81
1610,0,20121.0,Worcester,MA,11722,4327,12.44668,39.72881,81
1611,0,6810.0,Cherry Valley,MA,1542,611,17.63943,76.19646,81
1612,0,1436.0,Paxton,MA,2739,1161,44.24973,105.2592,81
1701,0,1070.0,Framingham,MA,22729,8706,49.78222,109.641,81
1702,0,4401.0,Framingham,MA,24263,7940,35.30066,67.1348,81
1719,1,188.0,Boxborough,MA,3115,1296,72.13483,144.584,81
1720,1,231.0,Acton,MA,13148,5399,69.13599,141.6876,81
1721,0,1477.0,Ashland,MA,10282,4072,45.58452,101.4841,81
1730,1,506.0,Bedford,MA,9078,3456,57.31438,132.1735,81
1731,0,2649.0,Hanscom AFB,MA,1507,790,50.76311,65.57222,81
1740,1,244.0,Bolton,MA,2768,1193,67.30492,142.4852,81
1741,1,39.0,Carlisle,MA,3146,1406,83.4075,186.1369,81
1742,1,203.0,Concord,MA,12102,4451,66.10478,151.7509,81
1746,0,1006.0,Holliston,MA,9017,3835,50.79294,110.9865,81
1747,0,3436.0,Hopedale,MA,3978,1531,28.60734,90.79321,81
1748,1,478.0,Hopkinton,MA,8401,3670,57.69551,134.0944,81
1749,0,3396.0,Hudson,MA,12563,4880,28.40086,91.7216,81
1752,0,2630.0,Marlborough,MA,25512,9374,35.60677,92.03542,81
1754,0,2284.0,Maynard,MA,7409,2806,38.21028,93.98375,81
1756,0,2029.0,Mendon,MA,3472,1475,35.8871,103.7411,81
1757,0,4635.0,Milford,MA,18560,7316,26.55711,79.54,81
1760,0,938.0,Natick,MA,23034,8544,52.49197,111.9528,81
1770,1,76.0,Sherborn,MA,2728,1233,75.62317,178.1095,81
1772,1,184.0,Southborough,MA,5343,2322,64.47688,158.6694,81
1773,1,74.0,Lincoln,MA,3659,1489,76.93359,175.9637,81
1775,1,400.0,Stow,MA,3962,1682,61.8627,134.0682,81
1776,1,110.0,Sudbury,MA,10824,4836,71.88655,170.5097,81
1778,1,192.0,Wayland,MA,9075,3754,68.48485,150.0876,81
1801,0,3634.0,Woburn,MA,26829,9695,29.46066,86.77757,81
1803,0,1454.0,Burlington,MA,16020,6428,42.61548,107.3173,81
1810,1,362.0,Andover,MA,20897,8594,62.50658,137.0626,81
1821,0,3800.0,Billerica,MA,19531,7972,23.74174,94.2675,81
1824,0,1193.0,Chelmsford,MA,17723,7076,45.28579,112.8485,81
1826,0,5074.0,Dracut,MA,19175,7756,20.13038,85.82171,81
1827,0,1033.0,Dunstable,MA,1830,800,44.20765,120.8667,81
1830,0,5518.0,Haverhill,MA,16357,5852,21.2753,79.54,81
1832,0,6189.0,Haverhill,MA,14118,5621,22.11361,72.70387,81
1833,0,1838.0,Georgetown,MA,4869,2013,38.40624,104.149,81
1834,0,2508.0,Groveland,MA,3956,1743,34.15066,96.75717,81
1835,0,3950.0,Haverhill,MA,8879,3493,29.3051,82.74362,81
1840,0,23605.0,Lawrence,MA,2904,922,8.19559,25.66819,81
1841,0,22255.0,Lawrence,MA,23978,10276,8.42022,38.17277,81
1843,0,14982.0,Lawrence,MA,14011,5758,12.99693,52.91465,81
1844,0,5367.0,Methuen,MA,30009,11635,22.94645,78.13695,81
1845,0,866.0,North Andover,MA,17672,7012,50.31689,119.1289,81
1850,0,12927.0,Lowell,MA,9561,3824,14.54869,55.65015,81
1851,0,8580.0,Lowell,MA,17759,6930,20.27141,61.5082,81
1852,0,8692.0,Lowell,MA,21526,7817,19.48342,62.31499,81
1854,0,11641.0,Lowell,MA,15575,5676,15.98716,56.97083,81
1860,0,3221.0,Merrimac,MA,4048,1702,30.80534,90.3787,81
1862,0,4077.0,North Billerica,MA,6836,2452,21.95729,93.7693,81
1863,0,2110.0,North Chelmsford,MA,5931,2285,40.07756,94.4911,81
1864,0,1388.0,North Reading,MA,9302,3750,40.86218,112.7713,81
1867,0,999.0,Reading,MA,16304,6479,47.82875,116.4758,81
1876,0,3172.0,Tewksbury,MA,19556,7646,25.49601,100.1909,81
1879,0,2506.0,Tyngsboro,MA,7146,2965,30.64651,102.8022,81
1880,0,1845.0,Wakefield,MA,17788,6643,39.70092,101.7757,81
1886,1,475.0,Westford,MA,13275,5824,56.81356,136.0283,81
1887,0,2557.0,Wilmington,MA,14140,5810,31.44979,100.4237,81
1890,1,264.0,Winchester,MA,14800,5831,64.90541,144.1315,81
1902,0,13611.0,Lynn,MA,30218,10668,15.92097,51.49329,81
1904,0,4788.0,Lynn,MA,12477,4846,21.76805,86.18523,81
1905,0,14193.0,Lynn,MA,14375,5633,12.51478,55.85152,81
1906,0,5196.0,Saugus,MA,19044,7140,19.25016,86.01,81
1907,0,1087.0,Swampscott,MA,10214,3996,50.21539,108.2627,81
1908,0,1416.0,Nahant,MA,2810,988,47.47331,100.5884,81
1913,0,4419.0,Amesbury,MA,11158,4269,26.42051,82.21535,81
1915,0,2824.0,Beverly,MA,27633,9929,36.53603,86.9371,81
1921,1,209.0,Boxford,MA,5016,2253,62.81898,156.2464,81
1922,0,1276.0,Byfield,MA,1866,767,42.97964,113.9639,81
1923,0,2869.0,Danvers,MA,17777,6602,33.0202,92.2708,81
1929,0,2584.0,Essex,MA,2280,940,36.27193,91.73076,81
1930,0,4771.0,Gloucester,MA,21598,7912,27.49329,76.44099,81
1938,0,1874.0,Ipswich,MA,9311,3484,41.3919,97.97977,81
1940,0,881.0,Lynnfield,MA,8093,3352,49.33893,120.1279,81
1944,1,665.0,Manchester,MA,3704,1459,55.99352,122.4031,81
1945,1,444.0,Marblehead,MA,14724,5692,61.49824,130.6188,81
1949,0,2047.0,Middleton,MA,5376,1778,29.31548,114.5523,81
1950,0,1940.0,Newburyport,MA,13717,4684,42.16665,94.801,81
1951,0,1200.0,Newbury,MA,1894,771,46.19852,110.9812,81
1952,0,7340.0,Salisbury,MA,5493,2025,17.13089,73.65318,81
1960,0,4621.0,Peabody,MA,34274,12997,23.10206,85.62557,81
1966,0,1955.0,Rockport,MA,5716,2035,44.41918,90.5683,81
1969,0,2232.0,Rowley,MA,3619,1438,36.05968,98.7591,81
1970,0,4525.0,Salem,MA,28169,9750,31.14062,72.74833,81
1982,0,1082.0,South Hamilton,MA,5524,2152,52.51629,104.4589,81
1983,1,564.0,Topsfield,MA,4135,1718,51.97098,136.6115,81
1984,1,717.0,Wenham,MA,2403,952,50.64503,128.15,81
1985,1,542.0,West Newbury,MA,2787,1192,57.23,129.5178,81
2019,0,4027.0,Bellingham,MA,10362,4306,21.97452,94.24397,81
2021,0,1311.0,Canton,MA,14541,5562,45.21697,108.4053,81
2025,1,452.0,Cohasset,MA,5055,2060,60.73195,130.9391,81
2026,0,2736.0,Dedham,MA,16989,6169,32.99194,94.5787,81
2030,1,30.0,Dover,MA,3586,1571,77.80256,205.5129,81
2032,0,1257.0,East Walpole,MA,2691,1044,43.6269,113.3022,81
2035,0,1932.0,Foxboro,MA,11018,4413,37.50227,103.0533,81
2038,0,1459.0,Franklin,MA,18736,7894,42.69321,106.9957,81
2043,1,543.0,Hingham,MA,13581,5493,57.52154,128.9267,81
2045,0,3942.0,Hull,MA,7957,2851,30.08672,81.45564,81
2048,0,1676.0,Mansfield,MA,14306,5939,42.12918,102.0686,81
2050,0,2189.0,Marshfield,MA,16654,6746,35.84124,100.1948,81
2052,1,323.0,Medfield,MA,7702,3316,62.10075,142.4316,81
2053,0,1301.0,Medway,MA,7960,3337,43.51759,111.9659,81
2054,0,2318.0,Millis,MA,5407,2193,37.50694,94.3708,81
2056,0,1333.0,Norfolk,MA,7106,2433,37.89755,120.3005,81
2061,1,712.0,Norwell,MA,6564,2732,51.87386,126.5378,81
2062,0,2304.0,Norwood,MA,20788,7441,39.21493,91.74644,81
2066,0,1081.0,Scituate,MA,12133,4812,47.95187,112.3961,81
2067,1,422.0,Sharon,MA,11464,4953,63.07572,129.6119,81
2071,0,1711.0,South Walpole,MA,649,277,40.98613,103.035,81
2072,0,3416.0,Stoughton,MA,19209,7309,28.38253,91.45616,81
2081,0,1566.0,Walpole,MA,12581,4672,38.98736,110.2961,81
2090,1,474.0,Westwood,MA,9707,3880,57.41218,134.9992,81
2093,0,1372.0,Wrentham,MA,7133,2650,39.14202,116.4522,81
2108,1,13.0,Boston,MA,2874,592,72.51218,229.9284,81
2109,1,451.0,Boston,MA,3080,634,65.94156,122.1246,81
2110,1,117.0,Boston,MA,1246,309,76.72552,159.1598,81
2111,0,15777.0,Boston,MA,3634,925,24.79362,30.49192,81
2113,0,1415.0,Boston,MA,5252,926,60.377,78.456,81
2114,1,238.0,Boston,MA,9223,1570,70.73621,137.7975,81
2115,0,2494.0,Boston,MA,11071,2268,60.04878,52.45961,81
2116,1,309.0,Boston,MA,14520,3085,69.6281,130.5678,81
2118,0,5215.0,Boston,MA,16290,3343,43.92879,43.34302,81
2119,0,18577.0,Boston,MA,14240,5528,14.92978,40.07271,81
2120,0,9473.0,Boston,MA,5796,1998,32.17736,36.91224,81
2121,0,20895.0,Boston,MA,13891,6090,12.23814,37.57389,81
2122,0,11823.0,Boston,MA,14836,5268,17.69345,53.44684,81
2124,0,13237.0,Boston,MA,30470,12098,17.3679,49.95424,81
2125,0,13117.0,Boston,MA,20446,7286,19.07464,47.32858,81
2126,0,12341.0,Mattapan,MA,17058,7035,15.52937,55.54423,81
2127,0,6531.0,Boston,MA,21510,6267,27.58252,60.94462,81
2128,0,18718.0,Boston,MA,24819,8768,10.43958,47.43973,81
2129,0,1961.0,Charlestown,MA,11394,3295,51.07952,78.99212,81
2130,0,3005.0,Jamaica Plain,MA,25886,6967,46.83613,66.16979,81
2131,0,4754.0,Roslindale,MA,21956,7667,31.5859,69.55909,81
2132,0,1998.0,West Roxbury,MA,18355,6131,43.25797,91.70853,81
2134,0,4004.0,Allston,MA,11721,2859,48.91221,48.26352,81
2135,0,2206.0,Brighton,MA,29568,7165,54.92762,66.88113,81
2136,0,7520.0,Hyde Park,MA,18617,6996,21.57705,64.80727,81
2138,1,347.0,Cambridge,MA,21761,5631,79.23809,110.334,81
2139,0,1787.0,Cambridge,MA,22304,5815,62.74211,63.56113,81
2140,0,1430.0,Cambridge,MA,12455,3577,60.85106,76.89865,81
2141,0,4478.0,Cambridge,MA,8628,2552,38.58368,60.45296,81
2142,1,434.0,Cambridge,MA,1183,369,89.26458,83.55172,81
2143,0,2891.0,Somerville,MA,18508,4641,45.99092,69.60093,81
2144,0,1908.0,Somerville,MA,17037,4316,51.93989,78.81429,81
2145,0,7808.0,Somerville,MA,18119,5987,24.12937,58.68901,81
2148,0,5360.0,Malden,MA,40572,13673,26.1535,72.64633,81
2149,0,9935.0,Everett,MA,26399,9610,14.66722,65.21786,81
2150,0,20700.0,Chelsea,MA,21597,7686,10.01991,42.01319,81
2151,0,12053.0,Revere,MA,33723,11863,13.48635,59.97308,81
2152,0,3754.0,Winthrop,MA,13610,4596,28.99339,85.90409,81
2155,0,3688.0,Medford,MA,39791,13556,31.82881,81.87668,81
2163,0,1028.0,Boston,MA,972,139,89.40329,43.25933,81
2169,0,4292.0,Quincy,MA,39027,12259,30.74026,76.23439,81
2170,0,3549.0,Quincy,MA,14044,4458,32.83965,82.07544,81
2171,0,3525.0,Quincy,MA,12449,3971,33.69749,80.88552,81
2176,0,1807.0,Melrose,MA,19697,7101,40.05686,102.1811,81
2180,0,2952.0,Stoneham,MA,16310,5880,31.60025,93.27634,81
2184,0,2772.0,Braintree,MA,24088,8888,31.79592,96.00007,81
2186,1,745.0,Milton,MA,17092,6777,52.18816,123.3838,81
2188,0,4629.0,Weymouth,MA,10504,3747,25.40937,81.55894,81
2189,0,5194.0,East Weymouth,MA,10512,3839,23.54452,78.61814,81
2190,0,3372.0,South Weymouth,MA,11059,4068,30.1926,88.96126,81
2191,0,4309.0,North Weymouth,MA,6367,2391,24.04586,87.61443,81
2199,1,71.0,Boston,MA,909,184,76.67767,176.6097,81
2215,0,1328.0,Boston,MA,7551,1179,71.12965,63.16885,81
2301,0,12256.0,Brockton,MA,38431,14523,15.34438,56.12481,81
2302,0,10806.0,Brockton,MA,20997,8207,11.43497,67.69315,81
2322,0,5576.0,Avon,MA,3116,1223,21.181,79.27325,81
2324,0,2963.0,Bridgewater,MA,15748,5641,29.53391,96.6421,81
2330,0,7121.0,Carver,MA,7343,3036,13.80907,80.72861,81
2332,1,394.0,Duxbury,MA,9365,3964,59.61559,138.926,81
2333,0,4538.0,East Bridgewater,MA,8451,3439,22.22222,88.01064,81
2338,0,4883.0,Halifax,MA,5122,2063,21.30027,85.89755,81
2339,0,1493.0,Hanover,MA,8458,3558,38.31875,113.5454,81
2341,0,4076.0,Hanson,MA,6144,2560,24.49544,89.40061,81
2343,0,5885.0,Holbrook,MA,7514,2887,18.32579,81.54978,81
2346,0,6136.0,Middleboro,MA,12992,5161,19.61207,77.49361,81
2347,0,2530.0,Lakeville,MA,6637,2667,32.60509,98.99316,81
2351,0,4405.0,Abington,MA,9864,3768,22.00933,89.99688,81
2356,0,1295.0,North Easton,MA,7302,2990,42.87866,113.3245,81
2359,0,2982.0,Pembroke,MA,11081,4571,28.52631,98.05038,81
2360,0,4366.0,Plymouth,MA,34627,13422,26.49089,82.72662,81
2364,0,3464.0,Kingston,MA,7943,3155,31.67569,85.12607,81
2367,0,3103.0,Plympton,MA,1706,726,27.25674,98.07,81
2368,0,4508.0,Randolph,MA,21817,8087,26.41976,81.06074,81
2370,0,6311.0,Rockland,MA,11813,4637,18.20029,78.57107,81
2375,0,2123.0,South Easton,MA,6640,2620,36.0241,101.1795,81
2379,0,5138.0,West Bridgewater,MA,4633,1788,20.22448,84.93385,81
2382,0,5054.0,Whitman,MA,9037,3638,21.72181,83.30196,81
2420,1,220.0,Lexington,MA,9825,3910,69.34351,143.2489,81
2421,1,194.0,Lexington,MA,11480,4564,68.78049,148.61,81
2445,1,227.0,Brookline,MA,18688,6199,75.24615,131.385,81
2446,1,294.0,Brookline,MA,21701,5839,78.24524,117.157,81
2451,0,2542.0,Waltham,MA,12858,4282,39.31405,87.14893,81
2452,0,1871.0,Waltham,MA,7858,2428,41.63909,97.59273,81
2453,0,3337.0,Waltham,MA,19196,5851,36.5597,78.41547,81
2458,1,535.0,Newton,MA,8907,2822,65.16223,116.2378,81
2459,1,125.0,Newton Center,MA,11790,4518,73.5369,160.147,81
2460,1,368.0,Newtonville,MA,7052,2354,65.59841,131.1967,81
2461,1,172.0,Newton Highlands,MA,4538,1861,72.78537,146.6643,81
2462,1,758.0,Newton Lower Falls,MA,1200,360,58.08333,112.6903,81
2464,1,589.0,Newton Upper Falls,MA,2152,646,64.49814,113.399,81
2465,1,614.0,West Newton,MA,8004,2968,58.22089,122.054,81
2466,1,369.0,Auburndale,MA,4819,1650,63.62316,134.586,81
2467,1,313.0,Chestnut Hill,MA,5916,2090,73.4449,123.5944,81
2468,1,25.0,Waban,MA,3980,1677,81.45729,201.9248,81
2472,0,1865.0,Watertown,MA,25300,7416,47.24901,88.18585,81
2474,0,1409.0,Arlington,MA,19461,6702,49.45789,97.49073,81
2476,1,753.0,Arlington,MA,12965,4204,57.8172,113.3938,81
2478,1,483.0,Belmont,MA,17570,6512,63.11326,124.1762,81
2481,1,59.0,Wellesley Hills,MA,9273,3866,79.52119,180.2932,81
2482,1,113.0,Wellesley,MA,6955,2688,71.04242,170.9661,81
2492,1,190.0,Needham,MA,13178,5330,68.94825,149.4953,81
2493,1,9.0,Weston,MA,7373,3035,75.09833,236.7292,81
2494,1,608.0,Needham Heights,MA,6552,2470,56.70024,124.9582,81
2532,0,6910.0,Buzzards Bay,MA,10238,3883,22.35788,67.39763,81
